Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.083333 	0.0011349 	0.00000 
0.10000 	0.0018915 	0.00000 
0.11667 	0.0028372 	0.00000 
0.13333 	0.0041613 	0.00000 
0.15000 	0.0054853 	0.00000 
0.16667 	0.0068094 	0.00000 
0.18333 	0.0088900 	0.00000 
0.20000 	0.010781 	0.00000 
0.21667 	0.012484 	0.00000 
0.23333 	0.014186 	0.00000 
0.25000 	0.015889 	0.00000 
0.26667 	0.017591 	0.00000 
0.28333 	0.019104 	0.00000 
0.30000 	0.020617 	0.00000 
0.31667 	0.022130 	0.00000 
0.33333 	0.023833 	0.00000 
0.35000 	0.025346 	-0.0016194 
0.36667 	0.027048 	0.00000 
0.38333 	0.028751 	0.00000 
0.40000 	0.030453 	0.00000 
0.41667 	0.032155 	0.00000 
0.43333 	0.033858 	0.00000 
0.45000 	0.035560 	0.00000 
0.46667 	0.037073 	0.00000 
0.48333 	0.038776 	0.0016178 
0.50000 	0.040289 	0.00000 
0.51667 	0.041991 	0.00000 
0.53333 	0.043693 	0.0016178 
0.55000 	0.045396 	0.00000 
0.56667 	0.047098 	0.00000 
0.58333 	0.048800 	0.00000 
0.60000 	0.050503 	0.00000 
0.61667 	0.052016 	0.00000 
0.63333 	0.053529 	0.00000 
0.65000 	0.055232 	0.00000 
0.66667 	0.056745 	0.00000 
0.68333 	0.058447 	0.00000 
0.70000 	0.060149 	0.00000 
0.71667 	0.061852 	0.00000 
0.73333 	0.063743 	0.00000 
0.75000 	0.065256 	0.00000 
0.76667 	0.066959 	0.00000 
0.78333 	0.068661 	0.00000 
0.80000 	0.070174 	0.00000 
0.81667 	0.071877 	0.00000 
0.83333 	0.073579 	0.00000 
0.85000 	0.075281 	0.00000 
0.86667 	0.076984 	0.00000 
0.88333 	0.078875 	0.00000 
0.90000 	0.080577 	-0.0016194 
0.91667 	0.082280 	0.00000 
0.93333 	0.083982 	0.00000 
0.95000 	0.085495 	0.00000 
0.96667 	0.087198 	0.00000 
0.98333 	0.088900 	0.00000 
1.0000 	0.090602 	0.00000 
1.0167 	0.092305 	0.00000 
1.0333 	0.094007 	-0.0016194 
1.0500 	0.095520 	0.00000 
1.0667 	0.097223 	0.00000 
1.0833 	0.098736 	0.00000 
1.1000 	0.10044 	0.00000 
1.1167 	0.10195 	0.00000 
1.1333 	0.10365 	0.00000 
1.1500 	0.10517 	0.00000 
1.1667 	0.10687 	0.0016178 
1.1833 	0.10857 	0.00000 
1.2000 	0.11027 	0.00000 
1.2167 	0.11198 	0.00000 
1.2333 	0.11349 	0.00000 
1.2500 	0.11519 	0.00000 
1.2667 	0.11689 	0.00000 
1.2833 	0.11841 	0.00000 
1.3000 	0.12011 	0.00000 
1.3167 	0.12162 	0.00000 
1.3333 	0.12333 	0.00000 
1.3500 	0.12522 	0.00000 
1.3667 	0.12692 	0.00000 
1.3833 	0.12862 	0.00000 
1.4000 	0.13013 	0.00000 
1.4167 	0.13184 	0.00000 
1.4333 	0.13354 	0.00000 
1.4500 	0.13505 	0.00000 
1.4667 	0.13675 	0.00000 
1.4833 	0.13846 	0.00000 
1.5000 	0.14035 	0.00000 
1.5167 	0.14205 	0.00000 
1.5333 	0.14375 	0.00000 
1.5500 	0.14527 	0.00000 
1.5667 	0.14697 	0.00000 
1.5833 	0.14848 	0.00000 
1.6000 	0.15018 	0.00000 
1.6167 	0.15189 	0.00000 
1.6333 	0.15359 	0.00000 
1.6500 	0.15529 	0.00000 
1.6667 	0.15718 	0.00000 
1.6833 	0.15889 	0.00000 
1.7000 	0.16059 	0.0016178 
1.7167 	0.16210 	0.0016178 
1.7333 	0.16380 	0.0016178 
1.7500 	0.16532 	0.0016178 
1.7667 	0.16702 	0.0016178 
1.7833 	0.16853 	0.0016178 
1.8000 	0.17023 	0.0016178 
1.8167 	0.17194 	0.0016178 
1.8333 	0.17364 	0.0032355 
1.8500 	0.17534 	0.0032355 
1.8667 	0.17704 	0.0048533 
1.8833 	0.17856 	0.0032355 
1.9000 	0.18026 	0.0048533 
1.9167 	0.18177 	0.0048533 
1.9333 	0.18347 	0.0048533 
1.9500 	0.18518 	0.0064711 
1.9667 	0.18688 	0.0064711 
1.9833 	0.18858 	0.0048533 
2.0000 	0.19009 	0.0064711 
2.0167 	0.19180 	0.0080889 
2.0333 	0.19331 	0.0080889 
2.0500 	0.19501 	0.0080889 
2.0667 	0.19653 	0.0097066 
2.0833 	0.19823 	0.0097066 
2.1000 	0.19993 	0.0097066 
2.1167 	0.20163 	0.0097066 
2.1333 	0.20352 	0.011324 
2.1500 	0.20523 	0.011324 
2.1667 	0.20693 	0.012942 
2.1833 	0.20863 	0.014560 
2.2000 	0.21014 	0.014560 
2.2167 	0.21185 	0.014560 
2.2333 	0.21355 	0.016178 
2.2500 	0.21506 	0.017796 
2.2667 	0.21676 	0.019413 
2.2833 	0.21866 	0.017796 
2.3000 	0.22036 	0.019413 
2.3167 	0.22206 	0.021031 
2.3333 	0.22376 	0.021031 
2.3667 	0.22698 	0.024267 
2.4000 	0.23019 	0.025884 
2.4167 	0.23190 	0.027502 
2.4333 	0.23360 	0.027502 
2.4500 	0.23530 	0.029120 
2.4667 	0.23700 	0.030738 
2.4833 	0.23871 	0.032355 
2.5000 	0.24041 	0.033973 
2.5333 	0.24362 	0.037209 
2.5667 	0.24684 	0.038827 
2.5833 	0.24873 	0.040444 
2.6167 	0.25214 	0.043680 
2.6500 	0.25535 	0.046915 
2.6833 	0.25876 	0.050151 
2.7167 	0.26197 	0.053387 
2.7500 	0.26538 	0.058240 
2.7833 	0.26878 	0.063093 
2.8167 	0.27219 	0.064711 
2.8500 	0.27540 	0.067946 
2.8833 	0.27862 	0.072800 
2.9167 	0.28202 	0.076035 
2.9500 	0.28543 	0.079271 
2.9833 	0.28864 	0.084124 
3.0167 	0.29186 	0.088978 
3.0500 	0.29526 	0.090595 
3.0833 	0.29867 	0.093831 
3.1167 	0.30188 	0.098684 
3.1500 	0.30510 	0.10192 
3.1833 	0.30850 	0.10677 
3.2167 	0.31191 	0.11001 
3.2500 	0.31531 	0.11486 
3.2833 	0.31872 	0.11810 
3.3167 	0.32193 	0.12133 
3.3500 	0.32515 	0.12457 
3.3833 	0.32855 	0.12780 
3.4167 	0.33196 	0.13266 
3.4500 	0.33536 	0.13589 
3.4833 	0.33839 	0.13751 
3.5167 	0.34179 	0.14236 
3.5500 	0.34520 	0.14560 
3.5833 	0.34860 	0.14884 
3.6167 	0.35182 	0.15207 
3.6500 	0.35503 	0.15531 
3.6833 	0.35844 	0.15692 
3.7167 	0.36203 	0.16178 
3.7500 	0.36544 	0.16501 
3.7833 	0.36865 	0.16825 
3.8167 	0.37187 	0.17148 
3.8500 	0.37546 	0.17310 
3.8833 	0.37868 	0.17634 
3.9167 	0.38208 	0.18119 
3.9500 	0.38530 	0.18281 
3.9833 	0.38851 	0.18443 
4.0167 	0.39192 	0.18766 
4.0500 	0.39532 	0.19090 
4.0833 	0.39854 	0.19413 
4.1167 	0.40175 	0.19575 
4.1500 	0.40516 	0.19737 
4.1833 	0.40856 	0.20222 
4.2167 	0.41197 	0.20384 
4.2500 	0.41537 	0.20707 
4.2833 	0.41859 	0.20869 
4.3167 	0.42199 	0.21193 
4.3500 	0.42540 	0.21355 
4.3833 	0.42861 	0.21678 
4.4167 	0.43183 	0.21840 
4.4500 	0.43504 	0.22002 
4.4833 	0.43864 	0.22325 
4.5333 	0.44355 	0.22649 
4.5667 	0.44696 	0.22811 
4.6167 	0.45169 	0.23134 
4.6500 	0.45528 	0.23296 
4.6833 	0.45869 	0.23619 
4.7167 	0.46209 	0.23943 
4.7667 	0.46682 	0.24105 
4.8167 	0.47193 	0.24267 
4.8667 	0.47684 	0.24590 
4.9167 	0.48176 	0.24752 
4.9667 	0.48687 	0.25237 
5.0167 	0.49198 	0.25399 
5.0667 	0.49689 	0.25723 
5.1167 	0.50200 	0.25884 
5.1667 	0.50711 	0.26208 
