Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.21193 
0.10000 	0.0013240 	0.21031 
0.11667 	0.0024589 	0.21031 
0.13333 	0.0034047 	0.21031 
0.15000 	0.0047287 	0.21193 
0.16667 	0.0060528 	0.21031 
0.18333 	0.0075660 	0.21031 
0.20000 	0.0092683 	0.21355 
0.21667 	0.011349 	0.21355 
0.23333 	0.013619 	0.21678 
0.25000 	0.015510 	0.21840 
0.26667 	0.017213 	0.22002 
0.28333 	0.018726 	0.22163 
0.30000 	0.020239 	0.22325 
0.31667 	0.021752 	0.22487 
0.33333 	0.023454 	0.22487 
0.35000 	0.025157 	0.22649 
0.36667 	0.026859 	0.22811 
0.38333 	0.028562 	0.22972 
0.40000 	0.030264 	0.23134 
0.41667 	0.031966 	0.23296 
0.43333 	0.033669 	0.23458 
0.45000 	0.035371 	0.23619 
0.46667 	0.036884 	0.23781 
0.48333 	0.038586 	0.23781 
0.50000 	0.040289 	0.23943 
0.51667 	0.041991 	0.24105 
0.53333 	0.043883 	0.24267 
0.55000 	0.045396 	0.24267 
0.56667 	0.047098 	0.24428 
0.58333 	0.048800 	0.24590 
0.60000 	0.050314 	0.24914 
0.61667 	0.052016 	0.24914 
0.63333 	0.053529 	0.25075 
0.65000 	0.055232 	0.25075 
0.66667 	0.056745 	0.25237 
0.68333 	0.058447 	0.25399 
0.70000 	0.060339 	0.25399 
0.71667 	0.061852 	0.25561 
0.73333 	0.063554 	0.25723 
0.75000 	0.065256 	0.25884 
0.76667 	0.066770 	0.26046 
0.78333 	0.068283 	0.26046 
0.80000 	0.069985 	0.26208 
0.81667 	0.071687 	0.26208 
0.83333 	0.073390 	0.26531 
0.85000 	0.075092 	0.26531 
0.86667 	0.076794 	0.26693 
0.88333 	0.078497 	0.26693 
0.90000 	0.080199 	0.26855 
0.91667 	0.081902 	0.27017 
0.93333 	0.083415 	0.27017 
0.95000 	0.085117 	0.27179 
0.96667 	0.086819 	0.27340 
0.98333 	0.088522 	0.27340 
1.0000 	0.090224 	0.27340 
1.0167 	0.091926 	0.27502 
1.0333 	0.093629 	0.27664 
1.0500 	0.095331 	0.27826 
1.0667 	0.097033 	0.27826 
1.0833 	0.098547 	0.27826 
1.1000 	0.10025 	0.27826 
1.1167 	0.10176 	0.27987 
1.1333 	0.10346 	0.28149 
1.1500 	0.10517 	0.28149 
1.1667 	0.10687 	0.28311 
1.1833 	0.10857 	0.28311 
1.2000 	0.11027 	0.28311 
1.2167 	0.11179 	0.28473 
1.2333 	0.11349 	0.28473 
1.2500 	0.11500 	0.28635 
1.2667 	0.11670 	0.28796 
1.2833 	0.11822 	0.28796 
1.3000 	0.11992 	0.28796 
1.3167 	0.12181 	0.28958 
1.3333 	0.12351 	0.28958 
1.3500 	0.12522 	0.29120 
1.3667 	0.12673 	0.29120 
1.3833 	0.12843 	0.29282 
1.4000 	0.13013 	0.29282 
1.4167 	0.13165 	0.29282 
1.4333 	0.13335 	0.29282 
1.4500 	0.13505 	0.29282 
1.4667 	0.13675 	0.29443 
1.4833 	0.13846 	0.29443 
1.5000 	0.14035 	0.29443 
1.5167 	0.14205 	0.29605 
1.5333 	0.14356 	0.29605 
1.5500 	0.14527 	0.29767 
1.5667 	0.14678 	0.29929 
1.5833 	0.14848 	0.29929 
1.6000 	0.15018 	0.29929 
1.6167 	0.15189 	0.29929 
1.6333 	0.15359 	0.29929 
1.6500 	0.15529 	0.30091 
1.6667 	0.15699 	0.30091 
1.6833 	0.15851 	0.30091 
1.7000 	0.16021 	0.30252 
1.7167 	0.16172 	0.30252 
1.7333 	0.16342 	0.30252 
1.7500 	0.16513 	0.30252 
1.7667 	0.16664 	0.30414 
1.7833 	0.16834 	0.30414 
1.8000 	0.17023 	0.30414 
1.8167 	0.17194 	0.30414 
1.8333 	0.17364 	0.30414 
1.8500 	0.17515 	0.30576 
1.8667 	0.17685 	0.30576 
1.8833 	0.17837 	0.30576 
1.9000 	0.18007 	0.30576 
1.9167 	0.18177 	0.30738 
1.9333 	0.18347 	0.30738 
1.9500 	0.18518 	0.30738 
1.9667 	0.18688 	0.30738 
1.9833 	0.18858 	0.30738 
2.0000 	0.19028 	0.30899 
2.0167 	0.19199 	0.30899 
2.0333 	0.19350 	0.30899 
2.0500 	0.19520 	0.30899 
2.0667 	0.19671 	0.30899 
2.0833 	0.19861 	0.30899 
2.1000 	0.20031 	0.31061 
2.1167 	0.20201 	0.31061 
2.1333 	0.20371 	0.31061 
2.1500 	0.20523 	0.31061 
2.1667 	0.20693 	0.31223 
2.1833 	0.20844 	0.31223 
2.2000 	0.21014 	0.31223 
2.2167 	0.21185 	0.31223 
2.2333 	0.21336 	0.31061 
2.2500 	0.21506 	0.31223 
2.2667 	0.21676 	0.31223 
2.2833 	0.21847 	0.31223 
2.3000 	0.22017 	0.31385 
2.3167 	0.22187 	0.31385 
2.3500 	0.22509 	0.31385 
2.3667 	0.22679 	0.31385 
2.3833 	0.22849 	0.31547 
2.4000 	0.23019 	0.31385 
2.4167 	0.23190 	0.31547 
2.4333 	0.23360 	0.31547 
2.4500 	0.23549 	0.31547 
2.4833 	0.23871 	0.31547 
2.5167 	0.24192 	0.31708 
2.5333 	0.24362 	0.31708 
2.5667 	0.24703 	0.31708 
2.6000 	0.25043 	0.31870 
2.6333 	0.25365 	0.31870 
2.6667 	0.25686 	0.32032 
2.7000 	0.26008 	0.31870 
2.7333 	0.26330 	0.32032 
2.7667 	0.26689 	0.32032 
2.8000 	0.27010 	0.31870 
2.8333 	0.27332 	0.32032 
2.8667 	0.27672 	0.32032 
2.9000 	0.28032 	0.32194 
2.9333 	0.28353 	0.32194 
2.9667 	0.28694 	0.32194 
3.0000 	0.29015 	0.32355 
3.0333 	0.29337 	0.32194 
3.0667 	0.29677 	0.32355 
3.1000 	0.30018 	0.32355 
3.1333 	0.30340 	0.32355 
3.1667 	0.30661 	0.32355 
3.2000 	0.30983 	0.32517 
3.2333 	0.31342 	0.32517 
3.2667 	0.31682 	0.32517 
3.3000 	0.32004 	0.32679 
3.3333 	0.32326 	0.32517 
3.3667 	0.32685 	0.32679 
3.4000 	0.33025 	0.32679 
3.4333 	0.33366 	0.32679 
3.4667 	0.33687 	0.32679 
3.5000 	0.34009 	0.32841 
3.5333 	0.34349 	0.32841 
3.5667 	0.34690 	0.32841 
3.6000 	0.35011 	0.32841 
3.6333 	0.35333 	0.32841 
3.6667 	0.35674 	0.33003 
3.7000 	0.36014 	0.33003 
3.7333 	0.36354 	0.33003 
3.7667 	0.36676 	0.33164 
3.8000 	0.37016 	0.33003 
3.8333 	0.37357 	0.33164 
3.8667 	0.37697 	0.33164 
3.9000 	0.38038 	0.33326 
3.9333 	0.38359 	0.33164 
3.9667 	0.38700 	0.33164 
4.0000 	0.39040 	0.33326 
4.0333 	0.39362 	0.33326 
4.0667 	0.39683 	0.33488 
4.1000 	0.40005 	0.33488 
4.1333 	0.40327 	0.33326 
4.1667 	0.40667 	0.33326 
4.2000 	0.41008 	0.33488 
4.2333 	0.41329 	0.33488 
4.2667 	0.41651 	0.33488 
4.3000 	0.42010 	0.33488 
4.3333 	0.42350 	0.33488 
4.3667 	0.42691 	0.33488 
4.4000 	0.43012 	0.33650 
4.4333 	0.43334 	0.33650 
4.4667 	0.43693 	0.33650 
4.5000 	0.44034 	0.33650 
4.5333 	0.44374 	0.33650 
4.5833 	0.44847 	0.33811 
4.6167 	0.45188 	0.33811 
4.6500 	0.45528 	0.33811 
4.7000 	0.46020 	0.33973 
4.7500 	0.46493 	0.33811 
4.8000 	0.47022 	0.33973 
4.8500 	0.47514 	0.33973 
4.9000 	0.48006 	0.33973 
4.9500 	0.48498 	0.33973 
5.0000 	0.49009 	0.33973 
5.0500 	0.49481 	0.33973 
5.1000 	0.49992 	0.34135 
5.1500 	0.50503 	0.34135 
5.2000 	0.50976 	0.34135 
5.2500 	0.51505 	0.34135 
5.3000 	0.52035 	0.34297 
5.3500 	0.52527 	0.34297 
5.4000 	0.53018 	0.34297 
5.4500 	0.53548 	0.34297 
5.5000 	0.54021 	0.34459 
5.5500 	0.54494 	0.34459 
5.6000 	0.55005 	0.34459 
