Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	-0.0032388 
0.083333 	0.0011349 	-0.0032388 
0.10000 	0.0018915 	-0.0032388 
0.11667 	0.0026481 	-0.0032388 
0.13333 	0.0039721 	-0.0016194 
0.15000 	0.0054853 	-0.0016194 
0.16667 	0.0071877 	-0.0016194 
0.18333 	0.0092683 	0.00000 
0.20000 	0.010971 	0.0016178 
0.21667 	0.012484 	0.0016178 
0.23333 	0.014186 	0.0032355 
0.25000 	0.015889 	0.0032355 
0.26667 	0.017591 	0.0064711 
0.28333 	0.019293 	0.0097066 
0.30000 	0.020996 	0.0097066 
0.31667 	0.022509 	0.011324 
0.33333 	0.024211 	0.014560 
0.35000 	0.025724 	0.014560 
0.36667 	0.027237 	0.014560 
0.38333 	0.028940 	0.017796 
0.40000 	0.030642 	0.017796 
0.41667 	0.032344 	0.019413 
0.43333 	0.034047 	0.021031 
0.45000 	0.035749 	0.022649 
0.46667 	0.037452 	0.024267 
0.48333 	0.039154 	0.025884 
0.50000 	0.040667 	0.025884 
0.51667 	0.042369 	0.027502 
0.53333 	0.044072 	0.029120 
0.55000 	0.045774 	0.030738 
0.56667 	0.047476 	0.030738 
0.58333 	0.049179 	0.033973 
0.60000 	0.050881 	0.035591 
0.61667 	0.052583 	0.037209 
0.63333 	0.054286 	0.035591 
0.65000 	0.055799 	0.038827 
0.66667 	0.057312 	0.038827 
0.68333 	0.059014 	0.040444 
0.70000 	0.060528 	0.042062 
0.71667 	0.062230 	0.043680 
0.73333 	0.063932 	0.045298 
0.75000 	0.065635 	0.045298 
0.76667 	0.067337 	0.045298 
0.78333 	0.069039 	0.046915 
0.80000 	0.070553 	0.048533 
0.81667 	0.072255 	0.050151 
0.83333 	0.073768 	0.050151 
0.85000 	0.075281 	0.051769 
0.86667 	0.076984 	0.051769 
0.88333 	0.078686 	0.051769 
0.90000 	0.080577 	0.053387 
0.91667 	0.082280 	0.055004 
0.93333 	0.083982 	0.055004 
0.95000 	0.085685 	0.055004 
0.96667 	0.087198 	0.055004 
0.98333 	0.088900 	0.055004 
1.0000 	0.090413 	0.056622 
1.0167 	0.092116 	0.055004 
1.0333 	0.093818 	0.055004 
1.0500 	0.095520 	0.055004 
1.0667 	0.097412 	0.055004 
1.0833 	0.099114 	0.053387 
1.1000 	0.10082 	0.055004 
1.1167 	0.10233 	0.055004 
1.1333 	0.10403 	0.056622 
1.1500 	0.10573 	0.056622 
1.1667 	0.10725 	0.056622 
1.1833 	0.10895 	0.056622 
1.2000 	0.11065 	0.056622 
1.2167 	0.11235 	0.056622 
1.2333 	0.11406 	0.056622 
1.2500 	0.11576 	0.058240 
1.2667 	0.11727 	0.058240 
1.2833 	0.11897 	0.058240 
1.3000 	0.12049 	0.058240 
1.3167 	0.12200 	0.058240 
1.3333 	0.12370 	0.058240 
1.3500 	0.12541 	0.058240 
1.3667 	0.12711 	0.058240 
1.3833 	0.12900 	0.058240 
1.4000 	0.13070 	0.059858 
1.4167 	0.13240 	0.059858 
1.4333 	0.13392 	0.059858 
1.4500 	0.13562 	0.059858 
1.4667 	0.13732 	0.061475 
1.4833 	0.13884 	0.059858 
1.5000 	0.14073 	0.059858 
1.5167 	0.14243 	0.059858 
1.5333 	0.14413 	0.061475 
1.5500 	0.14602 	0.061475 
1.5667 	0.14773 	0.061475 
1.5833 	0.14924 	0.059858 
1.6000 	0.15094 	0.061475 
1.6167 	0.15245 	0.063093 
1.6333 	0.15416 	0.061475 
1.6500 	0.15586 	0.061475 
1.6667 	0.15756 	0.061475 
1.6833 	0.15945 	0.061475 
1.7000 	0.16115 	0.063093 
1.7167 	0.16286 	0.063093 
1.7333 	0.16437 	0.063093 
1.7500 	0.16588 	0.063093 
1.7667 	0.16759 	0.063093 
1.7833 	0.16910 	0.063093 
1.8000 	0.17061 	0.063093 
1.8167 	0.17231 	0.064711 
1.8333 	0.17402 	0.064711 
1.8500 	0.17553 	0.066329 
1.8667 	0.17723 	0.066329 
1.8833 	0.17875 	0.064711 
1.9000 	0.18045 	0.066329 
1.9167 	0.18196 	0.064711 
1.9333 	0.18366 	0.066329 
1.9500 	0.18518 	0.066329 
1.9667 	0.18669 	0.066329 
1.9833 	0.18839 	0.067946 
2.0000 	0.19028 	0.067946 
2.0167 	0.19199 	0.066329 
2.0333 	0.19369 	0.067946 
2.0500 	0.19520 	0.067946 
2.0667 	0.19690 	0.069564 
2.0833 	0.19861 	0.067946 
2.1000 	0.20012 	0.066329 
2.1167 	0.20182 	0.066329 
2.1333 	0.20352 	0.069564 
2.1500 	0.20523 	0.069564 
2.1667 	0.20712 	0.071182 
2.1833 	0.20882 	0.071182 
2.2000 	0.21052 	0.071182 
2.2167 	0.21204 	0.072800 
2.2333 	0.21374 	0.072800 
2.2500 	0.21544 	0.074418 
2.2667 	0.21695 	0.074418 
2.2833 	0.21866 	0.074418 
2.3000 	0.22055 	0.076035 
2.3167 	0.22225 	0.076035 
2.3333 	0.22395 	0.077653 
2.3500 	0.22584 	0.079271 
2.3667 	0.22755 	0.080889 
2.4000 	0.23076 	0.080889 
2.4167 	0.23246 	0.082506 
2.4333 	0.23417 	0.082506 
2.4500 	0.23587 	0.084124 
2.4667 	0.23757 	0.085742 
2.4833 	0.23927 	0.085742 
2.5000 	0.24098 	0.087360 
2.5333 	0.24419 	0.088978 
2.5667 	0.24741 	0.090595 
2.6000 	0.25062 	0.092213 
2.6333 	0.25403 	0.093831 
2.6667 	0.25743 	0.095449 
2.7000 	0.26065 	0.098684 
2.7333 	0.26386 	0.098684 
2.7667 	0.26708 	0.10030 
2.8000 	0.27048 	0.10192 
2.8333 	0.27389 	0.10516 
2.8667 	0.27729 	0.10516 
2.9000 	0.28051 	0.10839 
2.9333 	0.28391 	0.11001 
2.9667 	0.28732 	0.11163 
3.0000 	0.29072 	0.11324 
3.0333 	0.29394 	0.11486 
3.0667 	0.29734 	0.11810 
3.1000 	0.30075 	0.11810 
3.1333 	0.30415 	0.12133 
3.1667 	0.30737 	0.12295 
3.2000 	0.31058 	0.12457 
3.2333 	0.31380 	0.12619 
3.2667 	0.31720 	0.12942 
3.3000 	0.32061 	0.13266 
3.3333 	0.32382 	0.13428 
3.3667 	0.32704 	0.13751 
3.4000 	0.33044 	0.13913 
3.4333 	0.33404 	0.14075 
3.4667 	0.33744 	0.14398 
3.5000 	0.34066 	0.14560 
3.5333 	0.34387 	0.14722 
3.5667 	0.34728 	0.14884 
3.6000 	0.35068 	0.15207 
3.6333 	0.35409 	0.15369 
3.6667 	0.35711 	0.15531 
3.7000 	0.36052 	0.15854 
3.7333 	0.36392 	0.15854 
3.7667 	0.36714 	0.16178 
3.8000 	0.37054 	0.16501 
3.8333 	0.37376 	0.16663 
3.8667 	0.37697 	0.16825 
3.9000 	0.38057 	0.17148 
3.9333 	0.38397 	0.17472 
3.9667 	0.38738 	0.17796 
4.0000 	0.39059 	0.17957 
4.0333 	0.39400 	0.18281 
4.0667 	0.39740 	0.18443 
4.1000 	0.40062 	0.18604 
4.1333 	0.40383 	0.18766 
4.1667 	0.40705 	0.18928 
4.2000 	0.41045 	0.19090 
4.2333 	0.41386 	0.19413 
4.2667 	0.41726 	0.19737 
4.3000 	0.42048 	0.19737 
4.3333 	0.42388 	0.19899 
4.3667 	0.42729 	0.20222 
4.4000 	0.43069 	0.20546 
4.4333 	0.43391 	0.20707 
4.4667 	0.43731 	0.21031 
4.5167 	0.44223 	0.21355 
4.5500 	0.44564 	0.21355 
4.6000 	0.45055 	0.21678 
4.6500 	0.45547 	0.21840 
4.6833 	0.45888 	0.22002 
4.7167 	0.46228 	0.22325 
4.7667 	0.46720 	0.22487 
4.8167 	0.47212 	0.22811 
4.8667 	0.47741 	0.23134 
4.9167 	0.48233 	0.23296 
4.9667 	0.48725 	0.23619 
5.0167 	0.49235 	0.23943 
5.0667 	0.49727 	0.24267 
5.1167 	0.50200 	0.24590 
5.1667 	0.50730 	0.24752 
5.2167 	0.51222 	0.25237 
5.2667 	0.51713 	0.25399 
5.3167 	0.52243 	0.25723 
5.3667 	0.52754 	0.26046 
5.4167 	0.53227 	0.26208 
5.4667 	0.53737 	0.26370 
5.5167 	0.54229 	0.26531 
5.5667 	0.54702 	0.26855 
5.6167 	0.55213 	0.27017 
5.6667 	0.55723 	0.27179 
5.7167 	0.56215 	0.27502 
5.7667 	0.56707 	0.27664 
5.8167 	0.57236 	0.27826 
5.8667 	0.57728 	0.27987 
5.9167 	0.58220 	0.28311 
5.9667 	0.58731 	0.28473 
6.0167 	0.59223 	0.28635 
6.0667 	0.59714 	0.28796 
6.1167 	0.60225 	0.28796 
6.1667 	0.60717 	0.28958 
6.2167 	0.61209 	0.29120 
6.2667 	0.61719 	0.29282 
6.3167 	0.62230 	0.29443 
6.3667 	0.62722 	0.29605 
6.4167 	0.63214 	0.29605 
6.4667 	0.63724 	0.29929 
6.5333 	0.64367 	0.29929 
6.5833 	0.64878 	0.30091 
6.6333 	0.65389 	0.30252 
6.7000 	0.66051 	0.30414 
6.7500 	0.66562 	0.30414 
6.8000 	0.67072 	0.30576 
6.8667 	0.67715 	0.30738 
6.9167 	0.68226 	0.30738 
6.9833 	0.68888 	0.30899 
7.0500 	0.69550 	0.31061 
7.1167 	0.70212 	0.31223 
7.1833 	0.70874 	0.31385 
7.2500 	0.71574 	0.31547 
7.3167 	0.72217 	0.31708 
7.3833 	0.72917 	0.31708 
7.4500 	0.73560 	0.31870 
7.5167 	0.74222 	0.32032 
7.5833 	0.74903 	0.32032 
7.6500 	0.75565 	0.32194 
7.7167 	0.76246 	0.32355 
7.7833 	0.76908 	0.32355 
7.8500 	0.77570 	0.32517 
7.9167 	0.78213 	0.32194 
7.9833 	0.78856 	0.32355 
8.0500 	0.79518 	0.32355 
8.1167 	0.80180 	0.32355 
8.1833 	0.80880 	0.32355 
8.2500 	0.81523 	0.32517 
8.3167 	0.82204 	0.32679 
8.3833 	0.82885 	0.32841 
8.4500 	0.83547 	0.33003 
8.5167 	0.84247 	0.33326 
8.5833 	0.84890 	0.33326 
8.6500 	0.85571 	0.33488 
8.7167 	0.86233 	0.33650 
8.7833 	0.86914 	0.33811 
8.8500 	0.87576 	0.33811 
8.9333 	0.88389 	0.33973 
9.0000 	0.89070 	0.34135 
9.0833 	0.89884 	0.34459 
9.1667 	0.90735 	0.34620 
9.2500 	0.91567 	0.34620 
9.3333 	0.92399 	0.34782 
9.4167 	0.93232 	0.34944 
9.5000 	0.94045 	0.35267 
9.5833 	0.94877 	0.35267 
9.6667 	0.95728 	0.35429 
9.7500 	0.96579 	0.35753 
9.8333 	0.97374 	0.35753 
9.9167 	0.98206 	0.36076 
10.000 	0.99057 	0.36238 
10.083 	0.99909 	0.36238 
10.167 	1.0074 	0.36562 
10.250 	1.0157 	0.36562 
10.333 	1.0237 	0.36723 
10.417 	1.0322 	0.36885 
10.500 	1.0405 	0.36885 
10.583 	1.0490 	0.37047 
10.667 	1.0573 	0.37047 
10.750 	1.0655 	0.37209 
10.833 	1.0738 	0.37209 
10.917 	1.0821 	0.37532 
11.000 	1.0906 	0.37694 
11.100 	1.1005 	0.37856 
11.183 	1.1090 	0.38018 
11.283 	1.1188 	0.38179 
11.383 	1.1288 	0.38341 
11.483 	1.1389 	0.38341 
11.583 	1.1489 	0.38341 
11.650 	1.1557 	0.31708 
11.667 	1.1574 	0.035591 
