Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.083333 	0.00094575 	0.00000 
0.11667 	0.0024589 	0.00000 
0.13333 	0.0035938 	0.00000 
0.15000 	0.0049179 	0.00000 
0.16667 	0.0064311 	0.00000 
0.18333 	0.0087009 	0.00000 
0.20000 	0.010592 	0.0016178 
0.21667 	0.012295 	0.00000 
0.23333 	0.013997 	0.00000 
0.25000 	0.015699 	0.00000 
0.26667 	0.017402 	0.00000 
0.28333 	0.018915 	0.00000 
0.30000 	0.020428 	0.00000 
0.31667 	0.021941 	0.00000 
0.33333 	0.023644 	0.00000 
0.35000 	0.025346 	0.0016178 
0.36667 	0.027048 	0.00000 
0.38333 	0.028751 	0.00000 
0.40000 	0.030453 	0.0016178 
0.41667 	0.032155 	0.00000 
0.43333 	0.033858 	0.0016178 
0.45000 	0.035371 	0.00000 
0.46667 	0.037073 	0.00000 
0.48333 	0.038586 	0.00000 
0.50000 	0.040289 	0.00000 
0.51667 	0.041991 	0.00000 
0.53333 	0.043693 	0.00000 
0.55000 	0.045396 	0.00000 
0.56667 	0.047098 	0.00000 
0.58333 	0.048800 	0.00000 
0.60000 	0.050314 	0.00000 
0.61667 	0.051827 	0.00000 
0.63333 	0.053529 	0.00000 
0.65000 	0.055042 	0.0016178 
0.66667 	0.056745 	0.00000 
0.68333 	0.058447 	0.00000 
0.70000 	0.060149 	0.00000 
0.71667 	0.061852 	0.00000 
0.73333 	0.063554 	0.00000 
0.75000 	0.065067 	0.00000 
0.76667 	0.066770 	0.0016178 
0.78333 	0.068283 	0.0016178 
0.80000 	0.069985 	0.0016178 
0.81667 	0.071687 	0.0016178 
0.83333 	0.073390 	0.0016178 
0.85000 	0.075092 	0.0032355 
0.86667 	0.076984 	0.0016178 
0.88333 	0.078686 	0.00000 
0.90000 	0.080388 	0.00000 
0.91667 	0.081902 	0.00000 
0.93333 	0.083604 	0.0016178 
0.95000 	0.085117 	0.0016178 
0.96667 	0.086819 	0.0016178 
0.98333 	0.088522 	0.0016178 
1.0000 	0.090224 	0.0016178 
1.0167 	0.091926 	0.00000 
1.0333 	0.093629 	0.00000 
1.0500 	0.095331 	0.00000 
1.0667 	0.097033 	0.0016178 
1.0833 	0.098547 	0.00000 
1.1000 	0.10025 	0.00000 
1.1167 	0.10176 	0.00000 
1.1333 	0.10346 	0.00000 
1.1500 	0.10517 	0.0016178 
1.1667 	0.10687 	0.00000 
1.1833 	0.10857 	0.00000 
1.2000 	0.11027 	0.00000 
1.2167 	0.11198 	0.00000 
1.2333 	0.11368 	0.0016178 
1.2500 	0.11519 	0.00000 
1.2667 	0.11689 	0.00000 
1.2833 	0.11860 	0.00000 
1.3000 	0.12011 	0.0016178 
1.3167 	0.12181 	0.00000 
1.3333 	0.12351 	0.00000 
1.3500 	0.12522 	-0.0016194 
1.3667 	0.12692 	0.00000 
1.3833 	0.12843 	0.00000 
1.4000 	0.13013 	0.00000 
1.4167 	0.13165 	0.00000 
1.4333 	0.13335 	0.0016178 
1.4500 	0.13505 	0.00000 
1.4667 	0.13675 	0.00000 
1.4833 	0.13846 	0.00000 
1.5000 	0.14016 	0.00000 
1.5167 	0.14186 	0.00000 
1.5333 	0.14356 	0.0016178 
1.5500 	0.14508 	0.00000 
1.5667 	0.14678 	0.00000 
1.5833 	0.14829 	0.00000 
1.6000 	0.15000 	0.0016178 
1.6167 	0.15170 	0.00000 
1.6333 	0.15340 	0.00000 
1.6500 	0.15510 	0.00000 
1.6667 	0.15680 	0.0016178 
1.6833 	0.15851 	0.00000 
1.7000 	0.16021 	0.00000 
1.7167 	0.16191 	0.00000 
1.7333 	0.16361 	0.00000 
1.7500 	0.16513 	0.00000 
1.7667 	0.16683 	0.00000 
1.7833 	0.16853 	0.00000 
1.8000 	0.17023 	0.00000 
1.8167 	0.17213 	0.00000 
1.8333 	0.17383 	0.0016178 
1.8500 	0.17534 	0.0016178 
1.8667 	0.17704 	0.0016178 
1.8833 	0.17856 	0.00000 
1.9000 	0.18007 	0.00000 
1.9167 	0.18177 	0.00000 
1.9333 	0.18347 	0.00000 
1.9500 	0.18518 	0.00000 
