Tempo(s)	Deformacao(mm)	Forca(N)
0.016667 	0.00000 	0.00000 
0.083333 	0.00094575 	-0.0016194 
0.10000 	0.0018915 	-0.0016194 
0.11667 	0.0028372 	0.00000 
0.13333 	0.0039721 	-0.0016194 
0.15000 	0.0052962 	-0.0016194 
0.16667 	0.0066202 	0.00000 
0.18333 	0.0083226 	0.00000 
0.20000 	0.010025 	0.0016178 
0.21667 	0.011727 	0.0016178 
0.23333 	0.013430 	0.0016178 
0.25000 	0.016078 	0.0048533 
0.26667 	0.018158 	0.0064711 
0.28333 	0.019861 	0.0080889 
0.30000 	0.021563 	0.0097066 
0.31667 	0.023265 	0.012942 
0.33333 	0.024779 	0.014560 
0.35000 	0.026292 	0.014560 
0.36667 	0.027994 	0.016178 
0.38333 	0.029507 	0.017796 
0.40000 	0.031020 	0.019413 
0.41667 	0.032723 	0.022649 
0.43333 	0.034614 	0.022649 
0.45000 	0.036317 	0.024267 
0.46667 	0.038019 	0.025884 
0.48333 	0.039532 	0.027502 
0.50000 	0.041234 	0.029120 
0.51667 	0.042748 	0.030738 
0.53333 	0.044450 	0.032355 
0.55000 	0.045963 	0.035591 
0.56667 	0.047666 	0.035591 
0.58333 	0.049368 	0.037209 
0.60000 	0.051070 	0.038827 
0.61667 	0.052773 	0.040444 
0.63333 	0.054475 	0.042062 
0.65000 	0.056177 	0.043680 
0.66667 	0.057880 	0.045298 
0.68333 	0.059393 	0.046915 
0.70000 	0.060906 	0.050151 
0.71667 	0.062608 	0.050151 
0.73333 	0.064311 	0.051769 
0.75000 	0.066013 	0.053387 
0.76667 	0.067715 	0.055004 
0.78333 	0.069418 	0.056622 
0.80000 	0.071120 	0.059858 
0.81667 	0.072822 	0.059858 
0.83333 	0.074336 	0.059858 
0.85000 	0.076038 	0.063093 
0.86667 	0.077551 	0.064711 
0.88333 	0.079253 	0.064711 
0.90000 	0.080956 	0.066329 
0.91667 	0.082658 	0.067946 
0.93333 	0.084360 	0.069564 
0.95000 	0.086063 	0.071182 
0.96667 	0.087765 	0.072800 
0.98333 	0.089278 	0.074418 
1.0000 	0.090981 	0.076035 
1.0167 	0.092494 	0.077653 
1.0333 	0.094007 	0.079271 
1.0500 	0.095709 	0.079271 
1.0667 	0.097601 	0.080889 
1.0833 	0.099303 	0.082506 
1.1000 	0.10101 	0.085742 
1.1167 	0.10271 	0.085742 
1.1333 	0.10422 	0.085742 
1.1500 	0.10592 	0.088978 
1.1667 	0.10744 	0.090595 
1.1833 	0.10914 	0.092213 
1.2000 	0.11084 	0.092213 
1.2167 	0.11254 	0.093831 
1.2333 	0.11425 	0.095449 
1.2500 	0.11595 	0.097066 
1.2667 	0.11765 	0.098684 
1.2833 	0.11935 	0.098684 
1.3000 	0.12087 	0.10030 
1.3167 	0.12257 	0.10192 
1.3333 	0.12408 	0.10192 
1.3500 	0.12578 	0.10354 
1.3667 	0.12749 	0.10516 
1.3833 	0.12919 	0.10677 
1.4000 	0.13089 	0.10839 
1.4167 	0.13278 	0.10839 
1.4333 	0.13448 	0.11001 
1.4500 	0.13600 	0.11163 
1.4667 	0.13770 	0.11324 
1.4833 	0.13921 	0.11324 
1.5000 	0.14092 	0.11486 
1.5167 	0.14262 	0.11648 
1.5333 	0.14432 	0.11810 
1.5500 	0.14602 	0.11972 
1.5667 	0.14773 	0.11972 
1.5833 	0.14943 	0.12133 
1.6000 	0.15113 	0.12295 
1.6167 	0.15283 	0.12295 
1.6333 	0.15435 	0.12457 
1.6500 	0.15605 	0.12619 
1.6667 	0.15775 	0.12780 
1.6833 	0.15945 	0.12780 
1.7000 	0.16115 	0.12942 
1.7167 	0.16286 	0.12942 
1.7333 	0.16456 	0.13104 
1.7500 	0.16626 	0.13266 
1.7667 	0.16778 	0.13428 
1.7833 	0.16948 	0.13428 
1.8000 	0.17099 	0.13589 
1.8167 	0.17269 	0.13751 
1.8333 	0.17440 	0.13751 
1.8500 	0.17610 	0.13913 
1.8667 	0.17780 	0.13913 
1.8833 	0.17931 	0.14075 
1.9000 	0.18102 	0.14236 
1.9167 	0.18272 	0.14398 
1.9333 	0.18423 	0.14398 
1.9500 	0.18593 	0.14398 
1.9667 	0.18745 	0.14560 
1.9833 	0.18915 	0.14560 
2.0000 	0.19085 	0.14722 
2.0167 	0.19255 	0.14722 
